TIMESTAMP,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,TA_1_1_1,RH_1_1_1,P_1_1_1,PA_1_1_1,WS_1_1_1,WD_1_1_1,VPD_1_1_1
2022-03-19 1230,685.71954,266.77652,62.8613,381.37762,9.915225,63.893948,0.0,101.3537,4.675612,4.675612,4.424869
2022-03-19 1300,683.3434,267.32782,66.289,384.34183,9.993442,63.076447,0.0,101.38403,4.436905,4.436905,4.5488253
2022-03-19 1330,670.88794,266.1446,59.91503,385.1423,10.139347,58.602398,0.0,101.39912,4.4746637,4.4746637,5.150052
2022-03-19 1400,644.4105,266.1891,56.39235,384.97604,10.241444,58.812443,0.0,101.427765,4.3902764,4.3902764,5.1590166
2022-03-19 1430,582.8154,266.2199,52.65113,382.52295,10.316858,55.605793,0.0,101.44285,4.993498,4.993498,5.5887585
2022-03-19 1500,541.13055,265.30225,50.1043,380.1189,10.45336,53.73635,0.0,101.4578,4.821645,4.821645,5.8774133
2022-03-19 1530,489.59467,264.42862,47.472214,378.91495,10.623015,52.684387,0.0,101.46692,4.586636,4.586636,6.079436
2022-03-19 1600,414.15906,264.1877,43.80793,375.42874,10.524524,51.692535,0.0,101.48289,4.413375,4.413375,6.166262
2022-03-19 1630,327.21146,262.071,39.80878,371.04935,10.188231,55.255547,0.0,101.49869,4.359974,4.359974,5.584642
2022-03-19 1700,238.715,259.56506,34.098583,366.69678,10.07068,53.00361,0.0,101.52568,3.9034243,3.9034243,5.8197694
2022-03-19 1730,154.81885,262.40564,28.12319,362.934,9.826437,52.83624,0.0,101.547585,3.1154163,3.1154163,5.7457175
2022-03-19 1800,65.155914,261.9548,15.217947,357.10608,9.032713,61.583633,0.0,101.57042,2.8272126,2.8272126,4.436755
2022-03-19 1830,9.173273,259.0548,3.6034756,349.25647,7.770999,72.035095,0.0,101.6048,1.6078825,1.6078825,2.964832
2022-03-19 1900,,266.98413,,344.13397,6.8135962,79.27849,0.0,101.64256,1.0362985,1.0362985,2.0575783
2022-03-19 1930,,261.7191,,342.05286,6.4236345,79.04905,0.0,101.675316,1.4534742,1.4534742,2.025288
2022-03-19 2000,,253.55789,,339.45328,6.2187047,78.99996,0.0,101.706665,1.5427407,1.5427407,2.0015445
2022-03-19 2030,,252.41501,,338.0587,5.903395,78.43813,0.0,101.74568,1.9356772,1.9356772,2.0107942
2022-03-19 2100,,252.11044,,335.5175,5.72122,79.62208,0.0,101.78625,1.3029325,1.3029325,1.876559
2022-03-19 2130,,251.66522,,332.96283,5.2652907,82.001686,0.0,101.834816,1.1535604,1.1535604,1.6057817
2022-03-19 2200,,256.96494,,330.95203,5.0270166,83.57298,0.0,101.87192,0.8925495,0.8925495,1.4414793
2022-03-19 2230,,292.28,,335.28854,5.352638,80.87551,0.0,101.90255,1.1331646,1.1331646,1.7166519
2022-03-19 2300,,287.1532,,335.3812,5.8779345,79.58253,0.0,101.94153,0.6518037,0.6518037,1.9007194
2022-03-19 2330,,286.84094,,333.9954,5.0439982,86.82277,0.0,101.97255,0.64396834,0.64396834,1.1576781
2022-03-20 0000,,301.28357,,335.29025,4.763621,90.483795,0.0,102.00048,0.9981035,0.9981035,0.8198467
2022-03-20 0030,,309.23065,,338.11908,5.722486,83.675415,0.0,102.0236,1.3957187,1.3957187,1.5034277
2022-03-20 0100,,297.8903,,336.65457,5.68073,83.22757,0.0,102.03781,1.0019497,1.0019497,1.5402083
2022-03-20 0130,,294.46008,,335.22583,5.3779583,86.27177,0.0,102.06578,0.34278435,0.34278435,1.2344438
2022-03-20 0200,,256.6776,,328.56775,4.7100353,91.06816,0.0,102.09271,0.4264095,0.4264095,0.76662683
2022-03-20 0230,,257.8482,,327.0414,4.375681,92.75362,0.0,102.115616,1.0762655,1.0762655,0.6075814
2022-03-20 0300,,257.21613,,325.60208,4.1649585,92.97928,0.0,102.13123,0.9579375,0.9579375,0.580026
2022-03-20 0330,,252.80112,,323.12692,3.422085,96.793976,0.0,102.140335,0.78288364,0.78288364,0.251374
2022-03-20 0400,,261.72144,,321.31,3.0779648,98.188156,0.0,102.15929,0.57831466,0.57831466,0.13864575
2022-03-20 0430,,267.96136,,319.62836,2.494954,98.881454,0.0,102.18618,0.2439145,0.2439145,0.08212348
2022-03-20 0500,,278.7756,,320.24234,2.3711758,99.85564,0.0,102.22612,1.0488851,1.0488851,0.0105061615
2022-03-20 0530,,307.91013,,324.27448,2.7268553,99.99016,0.0,102.247734,1.2091066,1.2091066,0.00073460257
2022-03-20 0600,,311.97668,,327.0594,3.2889595,99.46608,0.0,102.27135,1.0028672,1.0028672,0.04147108
2022-03-20 0630,3.5447943,305.7585,2.6658223,328.34573,3.4705055,98.557304,0.0,102.26822,1.376868,1.376868,0.11350445
2022-03-20 0700,8.730139,315.49832,2.3846571,330.73782,3.5912223,98.537476,0.0,102.28208,0.9679625,0.9679625,0.116048604
2022-03-20 0730,22.103952,326.19598,3.3132732,333.3445,3.9509535,98.34527,0.0,102.3011,0.57524264,0.57524264,0.13466805
2022-03-20 0800,69.37819,333.25598,7.4173975,338.0673,4.8787227,96.64385,0.0,102.32453,2.0696893,2.0696893,0.29147387
2022-03-20 0830,95.0423,333.73724,8.995909,342.271,5.976461,94.02912,0.0,102.350494,3.8020592,3.8020592,0.5596477
2022-03-20 0900,81.73627,332.37903,7.5478916,343.56815,6.128235,93.27378,0.0,102.3662,4.4889083,4.4889083,0.63709354
2022-03-20 0930,193.96707,327.57635,18.202572,346.58,6.180913,89.80284,0.0,102.38385,4.557835,4.557835,0.9693738
2022-03-20 1000,256.8936,321.35864,24.689062,350.2709,6.4245543,89.05628,0.0,102.39719,5.6683536,5.6683536,1.0579753
2022-03-20 1030,218.81868,320.96762,19.899458,350.67642,6.4663014,88.14705,0.0,102.4273,5.880841,5.880841,1.1491752
2022-03-20 1100,191.1398,329.62976,17.496464,350.97076,6.5985727,87.71699,0.0,102.44842,6.0072074,6.0072074,1.2017651
2022-03-20 1130,210.9883,331.648,19.131006,352.38043,6.8305893,86.14063,0.0,102.45967,5.4865856,5.4865856,1.3777971
2022-03-20 1200,173.1641,336.4149,15.883807,352.68008,6.816766,87.678696,0.1,102.45495,3.9821324,3.9821324,1.2237316
2022-03-20 1230,114.91192,338.06454,11.085814,349.2627,6.359393,89.45315,0.4,102.45773,3.9551032,3.9551032,1.0150394
2022-03-20 1300,96.63833,339.418,8.230909,348.1885,6.027677,92.52597,0.4,102.477036,3.119759,3.119759,0.7030225
2022-03-20 1330,85.77045,338.48108,7.2634025,347.30557,5.940597,93.21489,0.5,102.49278,3.2538476,3.2538476,0.6343896
2022-03-20 1400,88.504265,338.45038,7.743456,347.51657,6.020951,92.734276,0.4,102.48825,2.7919636,2.7919636,0.68311113
2022-03-20 1430,80.364586,339.5582,6.9720645,347.6788,6.1396914,94.32203,0.6,102.4832,2.8936942,2.8936942,0.5382314
2022-03-20 1500,87.58055,336.91434,7.661203,348.0398,6.2370014,94.06663,0.3,102.459785,3.0053616,3.0053616,0.566233
2022-03-20 1530,66.75036,341.02005,6.2270656,348.08136,6.2811537,94.16704,0.2,102.44698,2.378189,2.378189,0.5583491
2022-03-20 1600,47.07825,340.4985,4.7437053,347.91766,6.3833194,96.11055,0.3,102.43221,2.4690664,2.4690664,0.37494242
2022-03-20 1630,33.760254,341.05496,3.9816103,347.09412,6.3286,95.69624,0.3,102.42828,2.0830944,2.0830944,0.41331926
2022-03-20 1700,16.207565,340.96,2.8654523,346.2066,6.093985,97.67144,0.8,102.452614,1.9398243,1.9398243,0.22003514
2022-03-20 1730,9.071077,340.95547,1.9044586,345.84573,6.0744495,99.24818,0.6,102.43591,2.3073084,2.3073084,0.07094703
2022-03-20 1800,13.457036,339.84988,2.0322518,345.71948,6.159424,99.73791,0.2,102.40183,2.8121445,2.8121445,0.0248784
2022-03-20 1830,2.0056062,335.63846,1.1997919,345.02515,6.1963053,99.702576,0.0,102.37978,2.6796849,2.6796849,0.028304148
2022-03-20 1900,,334.30988,,344.2712,5.99593,99.85664,0.0,102.37738,2.7315192,2.7315192,0.013454824
2022-03-20 1930,,335.64206,,343.27823,5.638485,99.719345,0.1,102.35827,2.87114,2.87114,0.025697095
2022-03-20 2000,,338.04773,,342.61865,5.5269566,99.990974,0.4,102.368065,3.028099,3.028099,0.0008200224
2022-03-20 2030,,338.0124,,342.35016,5.466603,100.0,0.2,102.3826,2.4221177,2.4221177,0.0
2022-03-20 2100,,338.12054,,342.11627,5.361985,100.0,0.6,102.3938,2.3566716,2.3566716,0.0
2022-03-20 2130,,338.3839,,341.94034,5.4732666,100.0,0.7,102.41443,2.1413133,2.1413133,1.110223e-15
2022-03-20 2200,,338.51535,,341.9924,5.415967,100.0,1.1,102.44133,2.5247924,2.5247924,0.0
2022-03-20 2230,,338.6609,,342.00137,5.4864645,100.0,1.0,102.46014,2.0408728,2.0408728,0.0
2022-03-20 2300,,338.5216,,341.75946,5.426691,100.0,1.1,102.48002,1.838178,1.838178,0.0
2022-03-20 2330,,338.50378,,341.4154,5.484582,100.0,1.0,102.477486,2.555173,2.555173,0.0
2022-03-21 0000,,339.38916,,341.9653,5.618511,100.0,0.90000004,102.46526,2.4873347,2.4873347,0.0
2022-03-21 0030,,339.75168,,342.0999,5.7760086,100.0,0.8,102.459175,2.800777,2.800777,0.0
2022-03-21 0100,,339.19467,,341.27258,5.7014036,99.870125,1.1,102.46367,3.000824,3.000824,0.011943512
2022-03-21 0130,,338.91974,,340.402,5.7500415,99.56662,1.1,102.46809,3.0771585,3.0771585,0.039988827
2022-03-21 0200,,338.73572,,339.8209,5.5989776,99.82604,1.0,102.475464,2.670854,2.670854,0.015884198
2022-03-21 0230,,338.47403,,339.40802,5.483987,99.82592,1.3000001,102.487366,2.450623,2.450623,0.015768994
2022-03-21 0300,,337.9143,,338.79822,5.368696,99.85491,1.2,102.488914,2.4538817,2.4538817,0.013037947
2022-03-21 0330,,337.15012,,338.1958,5.2825484,99.64048,1.1,102.49527,2.9821246,2.9821246,0.032114338
2022-03-21 0400,,335.46326,,336.7292,4.866334,99.65252,1.2,102.505615,2.453049,2.453049,0.030151844
2022-03-21 0430,,334.4242,,335.76172,4.6700134,99.98039,0.90000004,102.50725,2.7930257,2.7930257,0.0016782306
2022-03-21 0500,,333.59634,,334.80283,4.429883,100.0,0.7,102.52638,2.5163894,2.5163894,0.0
2022-03-21 0530,,333.1285,,334.41666,4.3308077,100.0,0.7,102.53692,2.526866,2.526866,0.0
2022-03-21 0600,,332.50433,,333.90002,4.2018213,100.0,0.8,102.54995,2.574407,2.574407,0.0
2022-03-21 0630,0.7277425,332.67865,0.4286132,334.0586,4.279763,100.0,0.6,102.574684,2.5533135,2.5533135,1.110223e-15
2022-03-21 0700,6.276257,332.7362,0.9108317,333.90265,4.223597,100.0,0.6,102.594696,2.400799,2.400799,0.0
2022-03-21 0730,20.650665,333.14838,2.0869734,334.2899,4.2889414,100.0,0.4,102.61594,2.2785437,2.2785437,0.0
2022-03-21 0800,37.35221,334.25696,3.5406072,335.4353,4.5356417,99.99234,0.4,102.64577,2.334015,2.334015,0.00064948795
2022-03-21 0830,60.413185,335.68585,4.863876,336.74307,4.7362747,99.92732,0.2,102.6649,2.3219488,2.3219488,0.006249423
2022-03-21 0900,80.12598,334.743,6.406502,337.86868,4.9673953,99.605446,0.2,102.67308,2.6424131,2.6424131,0.03447873
2022-03-21 0930,82.028946,331.6204,6.6402617,338.64764,5.1841507,98.378845,0.0,102.6892,2.587454,2.587454,0.14382263
2022-03-21 1000,108.04135,332.2104,8.484798,340.86844,5.5484033,97.62471,0.0,102.69957,2.2929146,2.2929146,0.21612947
2022-03-21 1030,135.9813,333.60074,9.674961,344.05566,6.001161,96.860535,0.0,102.70448,2.0523531,2.0523531,0.29476365
2022-03-21 1100,105.01565,334.13107,6.4938717,345.27008,6.3431044,95.2921,0.0,102.737305,2.2953475,2.2953475,0.45258445
2022-03-21 1130,119.48957,335.09964,7.5266376,346.76752,6.613073,93.95946,0.0,102.72715,2.2598083,2.2598083,0.5915943
2022-03-21 1200,122.37075,336.2259,7.2671003,349.22644,7.090762,92.29482,0.0,102.752464,2.25364,2.25364,0.7797887
2022-03-21 1230,102.46365,336.64325,5.7669005,349.58694,7.087291,91.961784,0.0,102.780815,2.5488706,2.5488706,0.81329966
2022-03-21 1300,109.64305,337.7169,6.187975,351.92963,7.352442,90.93551,0.0,102.77475,2.4337003,2.4337003,0.9339393
2022-03-21 1330,110.87881,339.37204,6.1733913,354.04706,7.6851225,89.77451,0.0,102.76982,2.4955459,2.4955459,1.0777738
2022-03-21 1400,110.509636,339.6986,6.5040865,354.3766,7.7378416,90.635254,0.0,102.75397,2.6978374,2.6978374,0.99060625
2022-03-21 1430,118.65925,339.56787,7.6764774,355.16724,7.830324,90.00431,0.0,102.75905,2.4738588,2.4738588,1.0640335
2022-03-21 1500,111.8176,342.5733,8.993975,356.2094,8.008594,88.83555,0.0,102.76587,2.3160737,2.3160737,1.2029595
2022-03-21 1530,85.54841,349.8127,8.848911,355.9069,8.182047,90.114784,0.1,102.78997,1.8806169,1.8806169,1.0777578
2022-03-21 1600,85.629845,351.09735,9.184084,355.84302,8.12683,92.439865,0.2,102.800964,1.601431,1.601431,0.8211737
2022-03-21 1630,72.893,351.33688,7.9475703,355.94418,8.099678,94.31529,0.2,102.791565,1.3849132,1.3849132,0.6163282
2022-03-21 1700,83.95038,352.3755,8.534774,357.19928,8.351765,94.98486,0.0,102.77693,1.5471895,1.5471895,0.5531235
2022-03-21 1730,39.387505,351.77444,5.0926456,356.3161,8.328609,94.67013,0.1,102.77862,1.2849128,1.2849128,0.586913
