,target,y_bar,y_CI95,T air,dy_dT air,dy_dT air_CI95,DOY,dy_dDOY,dy_dDOY_CI95,T soil 10cm,dy_dT soil 10cm,dy_dT soil 10cm_CI95,T soil 50cm,dy_dT soil 50cm,dy_dT soil 50cm_CI95,Rn,dy_dRn,dy_dRn_CI95,PPFD,dy_dPPFD,dy_dPPFD_CI95,dy_dT air_norm,T air_norm,dy_dT air_norm_CI95,dy_dDOY_norm,DOY_norm,dy_dDOY_norm_CI95,dy_dT soil 10cm_norm,T soil 10cm_norm,dy_dT soil 10cm_norm_CI95,dy_dT soil 50cm_norm,T soil 50cm_norm,dy_dT soil 50cm_norm_CI95,dy_dRn_norm,Rn_norm,dy_dRn_norm_CI95,dy_dPPFD_norm,PPFD_norm,dy_dPPFD_norm_CI95
297,-1.8326279,-2.191256,0.011170466,23.034029006958008,0.0952266238629818,0.00296512382668041,206.0,0.010472876206040382,0.0003664881365130363,16.565326690673828,-0.1534629779557387,0.0065393811170378425,15.241448402404785,-0.24053445259730022,0.009692312840532931,1797.2015380859375,-0.0007888249660027213,9.913499128131013e-05,1276.4609375,-8.145847684014977e-05,8.091598145951421e-05,0.6559205775896665,1.7933197620187895,0.02042376022717684,1.1043587363011715,0.21675665175659284,0.03864596194457753,-0.7788419267681543,0.9838605249902689,0.03318809693979735,-0.8682457927785094,1.0785750047225948,0.03498588146195692,-0.23477309165848637,3.159691883250479,0.029504933791066112,-0.02986784135313199,2.8769526083856736,0.029668928157204875
298,-0.5773467,-0.71186775,0.01585364,26.452301025390625,0.14671323498090108,0.003975179720812849,202.0,0.008443463097016017,0.0004650817723593351,18.153186798095703,-0.059378218309332924,0.00933410446040157,15.483294486999512,-0.16659492949644725,0.012668082974041362,1087.3172607421875,-0.0025101991253905,0.00018610984805998075,339.5267028808594,-0.0022098278587994475,0.00013019671209542802,1.0105601346025481,2.28958488142822,0.027381020902830615,0.8903582981767779,0.17882377410809538,0.04904260379810737,-0.3013511569509563,1.2967324085998653,0.047371633207138164,-0.601349806947141,1.1455748290288357,0.04572737762101334,-0.7470950270916287,0.7745188764728607,0.05539072202360047,-0.8102629764840067,0.3216545957469546,0.0477383679687092
299,-0.10308927,0.0035611007,0.019173158,3.7516419887542725,-0.01198667146381922,0.004683088139690389,39.0,0.0021417177776129393,0.0006175332292677171,5.790876388549805,-0.02400587048808423,0.008831753571131027,7.106378555297852,-0.08390381528685491,0.012304981108426071,818.1387329101562,0.0012074394258282457,0.0003128621586414598,185.52175903320312,-0.0018440775301617881,0.0002050930690800175,-0.08256414173875015,-1.0060993727039902,0.03225709106214712,0.22584290044736727,-1.366940990068173,0.06511852172039778,-0.12183250106145316,-1.13913667427616,0.04482214576902778,-0.302863618222875,-1.175123877310274,0.044416706057059406,0.3593627220351783,-0.1299065053534276,0.09311522760164508,-0.6761557206849254,-0.0983626396254094,0.07520012020270966
300,-1.8092935,-1.4051117,0.010873952,18.21133804321289,0.144123425334692,0.004365973722139397,191.0,0.00950036736515661,0.00045792885493011913,16.95861053466797,-0.033509589167078954,0.008805776210936516,15.069250106811523,-0.1290261258681615,0.012018452130513817,968.0362548828125,-0.0035062794107943774,0.0001634184830079134,259.5282287597656,-0.0033334920648485423,0.00021822386982940352,0.9927215368440792,1.0931609408097132,0.030072808311334243,1.0018082417254146,0.07450836057472764,0.048288332793887986,-0.17006494556377205,1.0613531557884917,0.044690307735283395,-0.46573948028598977,1.030870053989503,0.04338243601010718,-1.0435522365145986,0.37374110962101464,0.04863723150691365,-1.2222695047465806,0.10347498998320905,0.08001470413351236
301,0.5375271,0.6484674,0.014607345,7.229445457458496,0.028342026619551083,0.006550292064839956,132.0,0.0001829563087085262,0.0005527460385326258,12.256998062133789,0.08502352965685228,0.011015396834310501,10.941858291625977,-0.027798934808621802,0.010524035395256672,700.130615234375,-0.0009394116066687274,0.000348449325866929,3.406177520751953,-0.007703114720061422,0.00035430479596301723,0.19521975804903374,-0.5011914705908006,0.04511838370677589,0.01929263689445122,-0.4850015847406085,0.0582867499433723,0.43150400533522215,0.13494764726259756,0.05590438168757952,-0.1003444950637431,-0.11256183957970879,0.037988110876912624,-0.2795912613606632,-0.5264074363419485,0.10370681589179329,-2.824450165392355,-0.5950459353302332,0.1299105979754991
302,0.56358033,0.770901,0.020845614,12.614368438720703,0.0343190277616183,0.00522269875951568,121.0,0.0011827461616727912,0.0006115971299541431,12.764383316040039,0.12264601091543834,0.010674636465320563,10.917173385620117,0.012318447045981885,0.013532681889948292,669.120849609375,-0.0012479496872401796,0.0003129880962050845,17.21750259399414,-0.007989887179185947,0.00029427945736972997,0.2363893163334879,0.28059225870176435,0.03597392670192154,0.12471989840925159,-0.589316998273977,0.06449256348241957,0.6224423422785279,0.23492281469918638,0.05417498437048265,0.0444653134124815,-0.1194004219292232,0.048848279275936914,-0.3714195403731775,-0.6305985816818737,0.09315270961912984,-2.9295991277328484,-0.5573783486335965,0.1079015037741615
303,-1.7560464,-1.1110742,0.013350274,19.3593807220459,0.15443866352240246,0.003956583445749949,191.0,0.009150167104477684,0.000611094696214203,16.97492790222168,-0.021928328248516968,0.008743787388407193,15.093292236328125,-0.12117091653247675,0.012998594610872855,958.2540893554688,-0.003915819758549333,0.00015029860769287697,234.6307830810547,-0.003993756626732648,0.00019252474813405686,1.0637728533308775,1.2598339071581963,0.027252929839791093,0.9648798268633484,0.07450836057472764,0.06443958213525201,-0.11128873980801601,1.0645683291518224,0.044375707467388475,-0.43738490411838704,1.037530564769571,0.04692040978353567,-1.1654411950861643,0.34087355936204117,0.04473244423136192,-1.4643643480389315,0.03557225880757656,0.07059177702406366
304,-1.7969015,-1.5119424,0.011510393,13.777061462402344,0.08127883858978749,0.004659137798683887,145.0,0.0006554261411414094,0.0007603194779968224,15.797340393066406,-0.003019360297669967,0.01268672230184396,13.466737747192383,-0.16233278553312022,0.01796206072315384,892.5177001953125,-0.0035855440888553857,0.0002925300153107166,224.11793518066406,-0.00482812326711913,0.00025648166355847057,0.5598482923256849,0.44939216377732777,0.032092121215803966,0.06911430735256885,-0.3617197323829923,0.08017524903249103,-0.015323594153912401,0.8325365397124179,0.06438654699370226,-0.5859649482526135,0.586918080473026,0.06483679773982398,-1.0671432919828319,0.12000282593134491,0.08706389764185579,-1.7702960498348346,0.006900599309553051,0.09404243651872449
305,-0.37654737,-0.7879524,0.018266743,14.002606391906738,0.08969052632649739,0.007294202748219128,259.0,0.007760999180997412,0.0004817479046935102,15.60307502746582,-0.003198812287397838,0.011275569772072313,15.9065580368042,-0.07679620787190894,0.011622723765104447,909.955810546875,-0.004107742050352196,0.0002721755060496123,196.5367431640625,-0.004415721725672483,0.0003437287397888526,0.6177879614533595,0.4821368022288969,0.05024243730988669,0.8183928731075157,0.7193672805991831,0.05080003780969077,-0.016234333247495902,0.7942585008779718,0.05722478869934612,-0.2772076252118454,1.2628336365041435,0.04195399411897803,-1.2225618387608537,0.17859393919756467,0.08100591104866237,-1.619083502147663,-0.06832150544668726,0.12603274535407535
306,-1.519822,-1.6707497,0.010238371,16.727699279785156,0.12187772144873937,0.0043971504353280694,170.0,0.006210332441454133,0.0005436856765195405,16.733489990234375,-0.01575581292466571,0.010293049725999434,14.56989860534668,-0.12462709276005626,0.011868479120660459,942.80810546875,-0.003426395426504314,0.00019390401938822822,278.6776428222656,-0.0035319137386977673,0.00020334866557274352,0.8394932236912596,0.8777660968292941,0.030287553378338675,0.6548759626413567,-0.12463924707988373,0.05733134001143488,-0.07996252815831892,1.0169954139150479,0.052238388617937316,-0.44986049934515876,0.8925322226317337,0.04284108555727409,-1.019776860767032,0.28897588391615436,0.057710452988660066,-1.2950234685505109,0.15570113125233762,0.0745605112972627
