,RI_bar,RI_CI95
VPD,1.39959382537015,0.05976551596691062
T soil 5cm,4.7243298285743585,0.5014873389181057
Water table,2.3723622357784016,0.0697543763783424
T soil 10cm,9.495039138371125,1.0476902959385894
PPFD Out,14.482089649702292,0.9566453985954142
T soil 50cm,8.171522228335544,0.35848227193477644
Rn,8.679029405141643,0.48445479217585125
PPFD In,50.676033688726484,2.3103977398662816
