,RI_bar,RI_CI95
Wind dir,1.2397751365320313,0.062493906939191934
Rn,0.9013823659636808,0.056003852649030426
PPFD In,0.9757418011741643,0.060215009413830574
Water table,3.9555020255507674,0.043820710921125446
T air,6.310575354187568,0.10416912089364523
T soil 5cm,11.774477610213632,0.3385550102656443
T soil 10cm,20.736118525872772,0.506427691192105
T soil 50cm,54.10642718050539,0.6739747448474159
