,target,y_bar,y_CI95,Water table,dy_dWater table,dy_dWater table_CI95,T soil 50cm,dy_dT soil 50cm,dy_dT soil 50cm_CI95,dy_dWater table_norm,Water table_norm,dy_dWater table_norm_CI95,dy_dT soil 50cm_norm,T soil 50cm_norm,dy_dT soil 50cm_norm_CI95
0,18.646393,22.451418,0.10511032,-5.308159,-0.10608163,0.12622917,12.0041065,6.7793584,0.19577114,-1.7464066796932258,-0.269492005377362,2.078092623221403,24.47113112719167,0.18171807185483646,0.7066658407147746
1,22.698004,36.039684,0.15741311,-8.61652,0.3424368,0.037505995,14.293992,5.2382693,0.2076999,5.637486229621757,-0.4704511226897167,0.6174558860819382,18.908330741642793,0.8160964466981966,0.749724558330738
2,24.282345,23.734571,0.12012603,-6.837681,0.15785994,0.100882575,12.205412,6.872569,0.18932736,2.59882536693231,-0.36239945242881794,1.6608154538037403,24.807585112635863,0.23748670509435327,0.6834059873666202
3,1.679431,9.319813,0.96724,38.433365,0.13577698,0.059321307,9.756721,7.415649,0.24852194,2.2352769252176254,2.3874906694774007,0.9765982846595352,26.7679171009375,-0.4408864434269949,0.897077873810601
4,42.98622,16.21692,0.29806575,-7.501377,-0.061623875,0.10523779,10.689203,2.635559,0.19758074,-1.0145048814589,-0.4027142240809999,1.7325148012106382,9.513452313403752,-0.18255611786796747,0.7131978997601051
5,0.908667,5.4144483,0.07303067,2.1817398,-0.4424152,0.060517717,6.894696,1.9843743,0.17182362,-7.283418747858891,0.18546542021686815,0.9962946240042279,7.1629015902067055,-1.2337672718339439,0.6202235974674579
6,9.801142,7.7547526,0.13421533,-0.97811127,-0.38666096,0.11787364,7.3121843,2.2654746,0.18835036,-6.365545064293525,-0.006472784970284835,1.9405368854070764,8.17757565085728,-1.1181084675854143,0.679879421974621
7,18.855299,29.486944,0.16551982,-5.11364,-0.71271104,0.042922795,13.142992,5.878322,0.18739179,-11.733259982634333,-0.2576763738475199,0.7066317686933605,21.218702822006133,0.4972291857417112,0.6764192929078169
8,19.270884,16.452824,0.1403167,-4.15271,-0.8467805,0.072179005,10.983842,2.6052744,0.30283004,-13.940423545560417,-0.19930680188269617,1.1882725313864915,9.404134556654025,-0.10093091175105642,1.0931113787338924
9,41.555058,34.02965,0.3365125,28.756271,0.16556066,0.053585667,13.265165,7.344009,0.25111902,2.725601326419537,1.7996769037915803,0.8821732392808856,26.509323088190325,0.5310754652657308,0.9064524032311492
10,11.016498,6.6181765,0.08462344,0.099998474,-0.51707065,0.050209146,7.008153,2.0333648,0.14957684,-8.512460803608233,0.05901462056321026,0.8265859270638191,7.339740919011634,-1.2023357907210273,0.5399204535099467
11,27.584223,31.313484,0.17536911,-5.2206573,-0.71030045,0.042941198,13.452576,5.491568,0.21782564,-11.693574808100403,-0.2641769175982686,0.7069347849898655,19.82265002210754,0.5829946879089931,0.7862748903716961
12,4.8243465,4.208017,0.20033912,-0.99642944,0.020818528,0.11791071,5.808109,2.1596997,0.23510344,0.3427325113586978,-0.0075854823072455686,1.9411473567334618,7.79576544208579,-1.5347899915559113,0.8486418564413215
13,0.6448578,4.8141503,0.1329585,3.1508179,-0.42445177,0.06478372,6.804027,1.9889821,0.17830175,-6.98768880348837,0.24432993626993585,1.06652513783697,7.179533927240824,-1.2588857988293463,0.6436073695921419
14,2.905215,8.369289,0.11420072,0.1924057,-0.3576975,0.07200121,7.9759784,1.40116,0.23075756,-5.888722367098773,0.06462769434299714,1.1853456738244608,5.057701326592397,-0.9342143030486242,0.8329546549825521
15,22.30884,24.098747,0.11774772,-6.81073,0.15785994,0.100882575,12.257902,6.872569,0.18932736,2.59882536693231,-0.36076238314817916,1.6608154538037403,24.807585112635863,0.25202833578878336,0.6834059873666202
16,5.5179634,6.03939,0.18015076,4.7980347,-0.39969212,0.06531608,7.726235,2.126472,0.21429807,-6.580073810457337,0.34438649846867436,1.0752892736698778,7.6758252875632405,-1.0034019763426618,0.7735416172101691
17,13.890622,10.554321,0.1634186,0.33512878,-0.48219857,0.06562297,9.346716,1.113537,0.24162383,-7.938364893891215,0.07329709421077087,1.0803416192329331,4.019481670326111,-0.5544720613372411,0.8721782298482383
18,6.5213695,8.42676,0.10951617,0.2576599,-0.35625917,0.07206734,8.033552,1.4667246,0.21881376,-5.865042906997472,0.06859141792609803,1.1864344191768954,5.294366361145186,-0.9182643481823798,0.7898417141728102
19,12.584507,17.556871,0.13999642,-3.0444794,-0.74923694,0.050113257,11.457044,5.6244283,0.27127954,-12.334580240861174,-0.13198977157355707,0.8250073864722537,20.30223339793216,0.030162523041961768,0.9792249620873029
20,43.79869,34.66424,0.20996678,-6.504696,-0.4631077,0.12507966,13.939221,4.832944,0.23715043,-7.624075823196552,-0.34217301541438583,2.0591684449600023,17.445244994356745,0.7178125661594854,0.8560307470356436
21,13.115272,23.45566,0.07740301,-3.788002,-0.7188647,0.042667273,12.321722,6.2679577,0.1580338,-11.834566941741114,-0.17715341962583062,0.7024252565574888,22.625151023498507,0.2697086760153684,0.5704471886116382
22,28.436796,33.747215,0.17922191,-7.9787216,0.3424368,0.037505995,13.814138,5.2382693,0.2076999,5.637486229621757,-0.4317094668685689,0.6174558860819382,18.908330741642793,0.6831602089601635,0.749724558330738
23,45.91094,35.878597,0.3493281,29.29403,0.5034443,0.04451217,13.5247965,4.0362535,0.32573932,8.288130527945219,1.8323418233233097,0.7327975535008375,14.569473443166588,0.6030023759696485,1.1758058082370118
24,30.455204,32.935863,0.32372648,-24.500004,0.13227244,0.03407439,14.453003,5.0641785,0.20704788,2.177581948065894,-1.4352584245938473,0.5609617303657737,18.279923588942683,0.860148023621085,0.747370987280827
25,13.500325,10.968984,0.09810762,0.69698334,-0.5102378,0.056104943,10.020189,0.94570994,0.20602566,-8.399972028984978,0.09527715335059204,0.9236477146258034,3.4136842309235274,-0.36789638733945773,0.743681108127141
26,9.03723,11.632911,0.112079,-0.98669434,-0.6598248,0.06933866,9.682776,1.1149896,0.20280983,-10.86260076871435,-0.00699414461380038,1.1415123553764117,4.024724413696646,-0.4613715429459498,0.7320730759897575
27,34.903687,30.197363,0.17558828,-5.3400803,-0.71150744,0.042934205,13.237763,5.739081,0.20332414,-11.713444461863418,-0.27143099982044555,0.7068197471951089,20.71608868057213,0.5234841739368236,0.7339295611943688
28,43.507572,33.094116,0.31708843,28.642418,0.13577698,0.059321307,13.1411915,7.415649,0.24852194,2.2352769252176254,1.792761126049198,0.9765982846595352,26.7679171009375,0.4967303739911468,0.897077873810601
29,-8.0973835,5.9163747,0.05681742,1.1049576,-0.46204582,0.053646065,6.90834,1.985412,0.16724089,-7.606595053468656,0.12005865164157023,0.8831675470265669,7.16664751663193,-1.229987478237835,0.6036815262183745
30,13.64724,10.455965,0.16831537,0.70137024,-0.47399873,0.06265187,9.414949,1.1003493,0.24312235,-7.803372290327214,0.09554362605727774,1.0314289002299972,3.97187901925764,-0.5355689982390381,0.8775872314057699
31,8.782102,8.378894,0.12438533,-0.5062256,-0.45246342,0.055703957,7.78659,1.4399859,0.20840065,-7.448840571361947,0.02219087308400858,0.9170462653472573,5.1978487283834545,-0.9866814788543188,0.7522540176136401
